Timeline,DO
2012-08-01 00:00:00.0,5.4586
2012-08-01 00:30:00.0,5.4082
2012-08-01 01:00:00.0,5.2854
2012-08-01 01:30:00.0,5.1605
2012-08-01 02:00:00.0,5.0621
2012-08-01 02:30:00.0,5.036
2012-08-01 03:00:00.0,5.0599
2012-08-01 03:30:00.0,5.0367
2012-08-01 04:00:00.0,4.9619
2012-08-01 04:30:00.0,4.9869
2012-08-01 05:00:00.0,4.9619
2012-08-01 05:30:00.0,4.935
2012-08-01 06:00:00.0,4.8863
2012-08-01 06:30:00.0,4.9365
2012-08-01 07:00:00.0,4.9626
2012-08-01 07:30:00.0,5.0113
2012-08-01 08:00:00.0,5.0632
2012-08-01 08:30:00.0,5.0374
2012-08-01 09:00:00.0,5.0396
2012-08-01 09:30:00.0,5.0392
2012-08-01 10:00:00.0,4.9659
2012-08-01 10:30:00.0,5.0389
2012-08-01 11:00:00.0,5.0657
2012-08-01 11:30:00.0,5.0886
2012-08-01 12:00:00.0,5.0134
2012-08-01 12:30:00.0,5.1129
2012-08-01 13:00:00.0,5.1903
2012-08-01 13:30:00.0,5.2379
2012-08-01 14:00:00.0,5.1907
2012-08-01 14:30:00.0,5.215
2012-08-01 15:00:00.0,5.1892
2012-08-01 15:30:00.0,5.167
2012-08-01 16:00:00.0,5.065
2012-08-01 16:30:00.0,5.0661
2012-08-01 17:00:00.0,5.1663
2012-08-01 17:30:00.0,5.313
2012-08-01 18:00:00.0,5.2862
2012-08-01 18:30:00.0,5.5345
2012-08-01 19:00:00.0,5.6322
2012-08-01 19:30:00.0,5.6576
2012-08-01 20:00:00.0,5.3835
2012-08-01 20:30:00.0,5.4823
2012-08-01 21:00:00.0,5.3828
2012-08-01 21:30:00.0,5.4568
2012-08-01 22:00:00.0,5.2843
2012-08-01 22:30:00.0,5.236
2012-08-01 23:00:00.0,5.1598
2012-08-01 23:30:00.0,5.085
2012-08-02 00:00:00.0,4.9858
2012-08-02 00:30:00.0,5.1097
2012-08-02 01:00:00.0,5.036
2012-08-02 01:30:00.0,4.9633
2012-08-02 02:00:00.0,4.8627
2012-08-02 02:30:00.0,4.8373
2012-08-02 03:00:00.0,4.7367
2012-08-02 03:30:00.0,4.6539
2012-08-02 04:00:00.0,4.5392
2012-08-02 04:30:00.0,4.5664
2012-08-02 05:00:00.0,4.5406
2012-08-02 05:30:00.0,4.4923
2012-08-02 06:00:00.0,4.3692
2012-08-02 06:30:00.0,4.4426
2012-08-02 07:00:00.0,4.4905
2012-08-02 07:30:00.0,4.4923
2012-08-02 08:00:00.0,4.4658
